_Cell,Seq,Chan,Fun,Hxf,Save2Mix,Notes,MxAdd,Shex,MxDatS,MxDat,sAdd,sCon,dAdd,dCon,Function,FunX,ShFunction,ShFunX,Table,ShTable,SigmaKey,Sigma,DspI2c,DspSpi,DspPage,DspAdd,DspAddHex,Checked,DefStr,Type,Neutral,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope
MainL001CompKnee001,1,1,1,,,Main L output compressor soft/hard knee,116,ol,2,,,,,,,,MainComp,,,,,,,2,1,1470,0x05BE,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompMake001,1,1,1,,,Main L output compressor makeup gain,117,om,33,,,,,,,,MainComp,,0=0/127=20/[Lin],,,,,2,1,1469,0x05BD,,,,0,GainFast,Slew,3,8,Exp,Scalar
MainL001CompOn001,1,1,1,,,Main L output compressor on/off,118,on,2,,,,,,,,MainComp,,,,,,,2,1,1464,0x05B8,,,,0,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompPar001,1,1,1,,,Main L output parallel compression blend,119,oo,33,,,,,,,,MainComp,,0=0/127=100/[Lin],,,,,2,1,1471,0x05BF,,,,0,GainFast,Slew,3,8,Exp,Scalar
MainL001CompRat001,1,1,1,,,Main L output compressor ratio,120,op,128,,,,,,,,MainComp,,0=1/127=30/[Log],,,,,2,1,1466,0x05BA,,,,0,DynSafe,LinearFrames,6,20,Exp,Scalar
MainL001CompRel001,1,1,1,,,Main L output compressor release,121,oq,255,,,,,,,,MainComp,,0=5/254=5000/[Log],,,,,2,1,1468,0x05BC,,,,-,DynSafe,LinearFrames,6,20,Exp,Scalar
MainL001CompDetSrc001,1,1,1,,,Main L output compressor self-key tap source (PreEQ/PostEQ),122,or,2,,,,,,,,MainComp,,,,,,,2,1,1474,0x05C2,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompEqPos001,1,1,1,,,Main L output compressor EQ position (Pre/Post),123,os,2,,,,,,,,MainComp,,,,,,,2,1,1476,0x05C4,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompFilterHpf001,1,1,1,,,Main L output compressor sidechain HPF frequency,124,ot,65,32,,,,,,,MainComp,,0=20/64=1000/[Log],,,,,2,1,1478,0x05C6,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompFilterLpf001,1,1,1,,,Main L output compressor sidechain LPF frequency,125,ou,255,127,,,,,,,MainComp,,0=500/127=20000/[Log],,,,,2,1,1478,0x05C6,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompFilterOn001,1,1,1,,,Main L output compressor sidechain filter on/off,126,ov,2,,,,,,,,MainComp,,,,,,,2,1,1477,0x05C5,,,,0,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompFilterQ001,1,1,1,,,Main L output compressor sidechain filter Q,127,ow,15,7,,,,,,,MainComp,,0=0.1/14=10/[Log],,,,,2,1,1478,0x05C6,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompKey001,1,1,1,,,Main L output compressor sidechain key source,128,ph,33,,,,,,,,MainComp,,,,,,,2,1,1473,0x05C1,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompLimMode001,1,1,1,,,Main L output compressor/limiter mode toggle,129,pi,2,,,,,,,,MainComp,,,,,,,2,1,1475,0x05C3,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
MainL001CompThr001,1,1,1,,,Main L output compressor threshold,130,pj,141,,,,,,,,MainComp,,0=-60/140=10/[Lin],,,,,2,1,1465,0x05B9,,,,140,DynSafe,LinearFrames,6,20,Exp,Scalar
MainL001CompType001,1,1,1,,,Main L output compressor type (Tube/FET/VCA/Optical),131,pk,4,,,,,,,,MainComp,,,,,,,2,1,1472,0x05C0,,,,-,InstantCtl,Instant,0,0,Linear,Scalar
