pin,rtl_name,fitter_dir,net,boards,active_devices_besides_U3,connector_pins
71,RESERVED_INPUT_WITH_WEAK_PULLUP,:,M MCU_P48,dsp;digital;rswitch;lswitch,dsp:U7.42; dsp:U8.14; dsp:U9.3; rswitch:U1.42; lswitch:U4.42,"dsp:J3.48, dsp:J4.48, digital:J12.13, digital:J13.13, digital:J17.48, rswitch:J1.13, lswitch:J1.13"
72,RESERVED_INPUT_WITH_WEAK_PULLUP,:,M MCU_P47,dsp;digital;rswitch;lswitch,dsp:U7.43; dsp:U9.4; rswitch:U1.43; lswitch:U4.43,"dsp:J3.47, dsp:J4.47, digital:J12.11, digital:J13.11, digital:J17.47, rswitch:J1.11, lswitch:J1.11"
73,RESERVED_INPUT_WITH_WEAK_PULLUP,:,M MCU_P18,dsp;digital,dsp:U8.29,"dsp:J3.18, dsp:J4.18, dsp:J6.10, digital:J17.18, digital:J24.51"
74,mhrx,input,M MCU_P17,dsp;digital,dsp:U8.32; digital:U34.6,"dsp:J3.17, dsp:J4.17, dsp:J6.8, digital:J17.17, digital:J24.55"
75,RESERVED_INPUT_WITH_WEAK_PULLUP,:,STRX1,dsp,dsp:U7.54,-
76,RESERVED_INPUT_WITH_WEAK_PULLUP,:,STRX0,dsp,dsp:U7.53,-
77,RESERVED_INPUT_WITH_WEAK_PULLUP,:,PI_RX2,dsp;digital,NONE,"dsp:J3.16, dsp:J4.16, dsp:J6.28, digital:J17.16"
78,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
79,pcm_fs,output,PI_PCM_FS,dsp;digital,NONE,"dsp:J3.26, dsp:J4.26, dsp:J6.35, digital:J17.26"
80,pcm_clk,output,PI_PCM_CLK,dsp;digital,NONE,"dsp:J3.23, dsp:J4.23, dsp:J6.12, digital:J17.23, digital:J24.49"
81,RESERVED_INPUT_WITH_WEAK_PULLUP,:,L1,dsp,NONE,-
82,VCCIO3,power,+3V3,dsp;digital,(rail),-
83,GNDIO,gnd,GND,dsp;digital;analog;rswitch;lswitch;phonejack;minijack;hdmifpc;p1;opt1;opt2;opt3,(rail),-
84,RESERVED_INPUT_WITH_WEAK_PULLUP,:,PI_TX2,dsp;digital,NONE,"dsp:J3.15, dsp:J4.15, dsp:J6.27, digital:J17.15"
85,RESERVED_INPUT_WITH_WEAK_PULLUP,:,C2,dsp,NONE,-
86,pcm_dout,input,PI_PCM_DOUT,dsp;digital,NONE,"dsp:J3.24, dsp:J4.24, dsp:J6.40, digital:J17.24"
87,RESERVED_INPUT_WITH_WEAK_PULLUP,:,C0,dsp,NONE,-
88,sysclk,input,LOGIC_SYSCLK,dsp,dsp:Y1.3,-
